Date_of_incident,Place_of_Incident,Summary,Type_of_Incident,Latitude,Longitude
2/14/20,"San Fernando Valley, CA",A 16-year-old boy in San Fernando Valley was physically attacked by bullies in his high school who accused him of having the coronavirus because he is Asian-American.,Physical Assault,34.18,-118.44
3/8/20,"Burbank, CA",Several men sitting at an outdoor Marriott bar verbally bullied an Asian American about the corona virus and said they hope a cure is found that doesn't work on Asians.,Verbal Abuse or Harassment,34.19,-118.35
3/31/20,"Burbank, CA",Founder of 88Rising verbally abused and nearly hit by angry motorist.,Verbal Abuse or Harassment,34.18,-118.31
4/9/21,"La Loma Rd & N Figueroa St, Los Angeles, CA 90041","A 70 year old Mexican American woman was beaten by a female perpetrator who mistook her for an Asian woman, calling the woman Asian slurs. The victim suffered a concussion.",Physical Assault,34.14,-118.19
N/A,"Pasadena, CA","Chinese-American actor Tzi Ma reported that in early February a man yelled at him, ""You should be quarantined.""",Verbal Abuse or Harassment,34.15,-118.14
5/3/20,"Pasadena, CA",Police arrested a man who threw a drink at several Asian American people while yelling racial slurs at them.,Physical Assault,34.15,-118.14
3/13/20,"Pasadena, CA",Mulan poster defaced with racist graffiti.,Destruction of property or vandalism,34.15,-118.14
4/25/20,"Pasedena, CA","A couple was walking in their neighborhood when a motorcyclist sped towards them, screaming racist slurs, almost running them over.",Verbal Abuse or Harassment,34.14,-118.14
4/14/21,"380 S Lake Ave #108, Pasadena, CA 91101","An Asian female business owner opened a beauty and self care studio and was vandalized with the word ""c***k"" scratched into her studio's window within two weeks of opening.",Destruction of property or vandalism,34.14,-118.13
2/20/20,"Azusa, CA",Elementary Classroom assistant was made to feel uncomfortable by anti-Chinese sentiments at work before school shut down.,Verbal Abuse or Harassment,34.13,-117.91
4/5/20,"Santa Monica, CA",NYTimes author captures photo of a man wearing face mask with racial slur written across it while he shops at local supermarket.,Verbal Abuse or Harassment,34.02,-118.50
4/17/20,"Santa Monica, CA",CNN host Lisa Ling reveals a slew of racial harassment towards her during the pandemic.,Verbal Abuse or Harassment,34.02,-118.49
2/11/21,"Montana Ave & Bundy Dr, Los Angeles, CA 90049","A real estate agent verbally assaulted an Asian girl, calling her a ""a stupid blue Asian-haired girl.""",Verbal Abuse or Harassment,34.05,-118.47
3/31/21,"Fern Dell Dr & Los Feliz Blvd, Los Angeles, CA 90068",Dash and Lily star Midori Francis was spat on by a passenger in a car that slowed down intentionally for the passenger to spit out of the window.,Coughing or Spitting,34.11,-118.31
9/15/21,"9616-9618 W Pico Blvd, Los Angeles, CA 90035","A 30-year old woman was punched by a man with his kids after allegedy calling her a racial slur while she was picking up her godson at mall parking lot. After chasing him down, she was brought to the hospital and suffered a concussion and dental fractures.",Physical Assault,34.05,-118.40
2/29/20,"Los Angeles, CA","Two women, one of them Asian American, had an uncomfortable Lyft ride when driver purposefully wore a mask in her presence and gave rude responses compared to her non-Asian companion.",Barring or Shunning,34.03,-118.38
6/13/21,"13300 Washington Blvd, Los Angeles, CA 90066","An Asian woman was walking when a male perpetrator approached her to ask for a cigarette. When she said she didn't have one and tried walking away, he yelled a racial slur and hit her on the head.",Physical Assault,33.99,-118.44
3/9/21,"1 World Way, Los Angeles,",An Asian man refused to sit in the front seat of an uber driver's car. The driver then,Verbal Abuse or Harassment,33.95,-118.40
4/12/20,"Los Angeles, CA",A Vietnamese-American middle schooler is sent out of his classroom for coughing after sipping water. He returns to find teasing from his classmates over coroonavirus.,Barring or Shunning,34.00,-118.30
N/A,"Los Angeles, CA",A man was verbally harassed and coughed on in grocery store.,Coughing or Spitting,33.99,-118.28
2/12/21,"2401 W Valley Blvd, Alhambra, CA 91803",An insulting message was scrawled in human feces on the front doors of an Asian-owned preschool,Destruction of Property or Vandalism,34.08,-118.15
6/26/21,"140 W. Valley Blvd, San Gabriel, CA 91776",Two Asian women were robbed by 3 men at convience store. One victim was dragged around and suffered bruises and cuts.,Physical Assault,34.08,-118.10
2/7/21,"Rosemead Blvd & Marshall St, Rosemead, CA 91770",A 51 year old Asian man was approached by a man who took his walking stick and,Physical Assault,34.08,-118.07
5/10/21,"2004 Rosemead Blvd, South El Monte, CA 91733","A 67 year old Asian man suffered a broken nose after getting mugged and assaulted at gunpoint while working as a Lyft driver. During the interaction, the suspect had also asked the victim if he was from China.",Physical Assault,34.05,-118.06
3/21/21,S Diamond Bar Blvd &,A man drove past a group that was protesting against Asian American-Pacific Islander,Verbal Abuse or Harassment,34.00,-117.81
3/7/21,"6800 Bergano Pl, Rancho Cucamonga, CA 91701","A 19 year old male murdered a 44 year old Asian woman and her 8 year old daughter. He also injured a 38 year old woman in the house. Investigators believe the suspect somehow entered the residence, then attacked and stabbed all three victims in a bedroom. The man had no relationship to any of the victims.",Physical Assault,34.13,-117.55
4/11/21,"1600 Valencia Ave, Placentia, CA 92870",An 18-year-old Asian woman was verbally attacked and physically assaulted by a male perpetrator who punched her and called her a “commie bitch” and a “North Korean whore”.,Physical Assault,33.89,-117.85
3/26/20,"Orange, CA",An Asian American woman exited a UPS store and saw that a man sitting in his car was filming her and followed her until she got into her car.,Barring or Shunning,33.83,-117.84
